InterfaceType	OREv1
ReportFile	RELATIVETOSOURCEDIRECTORY	query-response.dat
ResultDataFile	RELATIVETOSOURCEDIRECTORY	query-result-data.owl
ErrorFile	RELATIVETOSOURCEDIRECTORY	query-result-data.owl_err
LogFile	RELATIVETOSOURCEDIRECTORY	reasoner-console-output.txt
ExecutionTime	301032
TimedOut	true
ExecutionError	true
ExecutionCompleted	false
ReasonerQueryProcessingTime	0
ReasonerQueryStarted	true
ReasonerQueryCompleted	false
ReasonerConsoleOutputAvailable	true
ReasonerErrorsAvailable	false
ResultDataAvailable	false
ReasonerOutputParsingError	true
ExecutionStartTime	2015-07-02T03:56:38.165Z
ExecutionEndTime	2015-07-02T04:01:39.197Z
